Continent_Code;Country_Code
AS;AFG
EU;ALB
AN;ATA
AF;DZA
OC;ASM
EU;AND
AF;AGO
NA;ATG
EU;AZE
AS;AZE
SA;ARG
OC;AUS
EU;AUT
NA;BHS
AS;BHR
AS;BGD
EU;ARM
AS;ARM
NA;BRB
EU;BEL
NA;BMU
AS;BTN
SA;BOL
EU;BIH
AF;BWA
AN;BVT
SA;BRA
NA;BLZ
AS;IOT
OC;SLB
NA;VGB
AS;BRN
EU;BGR
AS;MMR
AF;BDI
EU;BLR
AS;KHM
AF;CMR
NA;CAN
AF;CPV
NA;CYM
AF;CAF
AS;LKA
AF;TCD
SA;CHL
AS;CHN
AS;TWN
AS;CXR
AS;CCK
SA;COL
AF;COM
AF;MYT
AF;COG
AF;COD
OC;COK
NA;CRI
EU;HRV
NA;CUB
EU;CYP
AS;CYP
EU;CZE
AF;BEN
EU;DNK
NA;DMA
NA;DOM
SA;ECU
NA;SLV
AF;GNQ
AF;ETH
AF;ERI
EU;EST
EU;FRO
SA;FLK
AN;SGS
OC;FJI
EU;FIN
EU;ALA
EU;FRA
SA;GUF
OC;PYF
AN;ATF
AF;DJI
AF;GAB
EU;GEO
AS;GEO
AF;GMB
AS;PSE
EU;DEU
AF;GHA
EU;GIB
OC;KIR
EU;GRC
NA;GRL
NA;GRD
NA;GLP
OC;GUM
NA;GTM
AF;GIN
SA;GUY
NA;HTI
AN;HMD
EU;VAT
NA;HND
AS;HKG
EU;HUN
EU;ISL
AS;IND
AS;IDN
AS;IRN
AS;IRQ
EU;IRL
AS;ISR
EU;ITA
AF;CIV
NA;JAM
AS;JPN
EU;KAZ
AS;KAZ
AS;JOR
AF;KEN
AS;PRK
AS;KOR
AS;KWT
AS;KGZ
AS;LAO
AS;LBN
AF;LSO
EU;LVA
AF;LBR
AF;LBY
EU;LIE
EU;LTU
EU;LUX
AS;MAC
AF;MDG
AF;MWI
AS;MYS
AS;MDV
AF;MLI
EU;MLT
NA;MTQ
AF;MRT
AF;MUS
NA;MEX
EU;MCO
AS;MNG
EU;MDA
EU;MNE
NA;MSR
AF;MAR
AF;MOZ
AS;OMN
AF;NAM
OC;NRU
AS;NPL
EU;NLD
NA;ANT
NA;CUW
NA;ABW
NA;SXM
NA;BES
OC;NCL
OC;VUT
OC;NZL
NA;NIC
AF;NER
AF;NGA
OC;NIU
OC;NFK
EU;NOR
OC;MNP
OC;UMI
NA;UMI
OC;FSM
OC;MHL
OC;PLW
AS;PAK
NA;PAN
OC;PNG
SA;PRY
SA;PER
AS;PHL
OC;PCN
EU;POL
EU;PRT
AF;GNB
AS;TLS
NA;PRI
AS;QAT
AF;REU
EU;ROU
EU;RUS
AS;RUS
AF;RWA
NA;BLM
AF;SHN
NA;KNA
NA;AIA
NA;LCA
NA;MAF
NA;SPM
NA;VCT
EU;SMR
AF;STP
AS;SAU
AF;SEN
EU;SRB
AF;SYC
AF;SLE
AS;SGP
EU;SVK
AS;VNM
EU;SVN
AF;SOM
AF;ZAF
AF;ZWE
EU;ESP
AF;SSD
AF;ESH
AF;SDN
SA;SUR
EU;SJM
AF;SWZ
EU;SWE
EU;CHE
AS;SYR
AS;TJK
AS;THA
AF;TGO
OC;TKL
OC;TON
NA;TTO
AS;ARE
AF;TUN
EU;TUR
AS;TUR
AS;TKM
NA;TCA
OC;TUV
AF;UGA
EU;UKR
EU;MKD
AF;EGY
EU;GBR
EU;GGY
EU;JEY
EU;IMN
AF;TZA
NA;USA
NA;VIR
AF;BFA
SA;URY
AS;UZB
SA;VEN
OC;WLF
OC;WSM
AS;YEM
AF;ZMB
OC;
AS;
AS;
AS;
